name	len	score	pvalue
NODE_13_length_5116_cov_3.798261	5116	0.19882121682167053	0.14717878993881714
NODE_9_length_5848_cov_3.996202	5848	0.2763827443122864	0.12570813505551778
NODE_29_length_4428_cov_3.786874	4428	0.3190397024154663	0.11466122818944029
NODE_21_length_4635_cov_4.449127	4635	0.0004811414983123541	0.5583692121761462
NODE_5_length_7550_cov_4.361441	7550	0.06714147329330444	0.21508422086260293
NODE_17_length_4778_cov_4.231209	4778	0.0019887364469468594	0.45975904524510913
NODE_25_length_4445_cov_3.128929	4445	0.08611199259757996	0.19878767278495355
NODE_1_length_11995_cov_4.492211	11995	0.004214782267808914	0.40526097137246014
NODE_22_length_4601_cov_5.459745	4601	0.0002773896267171949	0.5952300022660322
NODE_10_length_5446_cov_3.722686	5446	0.03142393007874489	0.26491804516957473
NODE_14_length_5091_cov_4.781970	5091	6.089874204917578e-06	0.80334617418234
NODE_30_length_4407_cov_4.461857	4407	0.005135589279234409	0.39102273585618247
NODE_6_length_6786_cov_4.744169	6786	0.00023258180590346456	0.605974771508422
NODE_18_length_4770_cov_3.352068	4770	0.09469283372163773	0.19283933831860411
NODE_2_length_9115_cov_6.153311	9115	0.009501054883003235	0.3478548228718181
NODE_26_length_4438_cov_7.225416	4438	0.5447288155555725	0.049758289901049926
NODE_23_length_4560_cov_3.949612	4560	4.736371920444071e-05	0.7021300702469975
NODE_15_length_5009_cov_4.273314	5009	0.005693862214684486	0.38337487725659036
NODE_31_length_4383_cov_3.743762	4383	4.353502663434483e-05	0.7069453886245185
NODE_11_length_5156_cov_4.306214	5156	0.08851176500320435	0.19699373064430847
NODE_3_length_8429_cov_4.041199	8429	0.036070480942726135	0.2563637736989199
NODE_19_length_4674_cov_4.791297	4674	0.0012162793427705765	0.4950902636150767
NODE_27_length_4435_cov_3.557306	4435	0.12728551030158997	0.17505098572399727
NODE_7_length_6393_cov_4.323604	6393	0.005444127134978771	0.3868683435304781
NODE_16_length_4801_cov_3.766751	4801	0.08816909790039062	0.19725810106503514
NODE_24_length_4497_cov_3.800090	4497	0.26011961698532104	0.12961704056197598
NODE_32_length_4383_cov_3.219270	4383	0.4309246242046356	0.08875292695822948
NODE_12_length_5127_cov_4.570386	5127	0.000282975728623569	0.5940214517712818
NODE_4_length_7825_cov_3.773745	7825	0.6389225721359253	0.038220409396480096
